City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,umzimvubu,75,AU,1602723909,59,-42.88,147.33,66.2,18.34
1,hobart,0,NZ,1602724135,61,-45.87,170.5,46.99,18.99
2,dunedin,100,RU,1602723726,97,71.97,102.5,18.07,11.5
3,khatanga,2,BW,1602724136,44,-19.98,23.42,77,20.8
4,maun,40,US,1602724136,66,22.08,-159.32,84.2,11.41
5,warqla,92,TD,1602724136,17,14.53,20.92,84.11,8.12
6,kapaa,100,NC,1602724136,81,-20.23,164.02,75.56,5.79
7,biltine,90,US,1602724136,68,64.86,-147.8,26.6,4.7
8,poum,80,KI,1602724136,75,3.07,172.79,82.13,10.96
9,college,75,SJ,1602724136,79,78.22,15.64,28.4,3.36
10,butaritari,0,SA,1602724061,33,17.49,44.13,64.4,2.39
11,longyearbyen,0,PF,1602724137,78,-16.48,-151.75,78.94,11.83
12,najran,75,CL,1602724137,61,-53.15,-70.92,48.2,14.99
13,faanui,75,RE,1602724137,64,-21.36,55.77,73.4,6.93
14,punta arenas,0,AU,1602724137,27,-31.43,152.92,82,1.99
15,saint-philippe,100,RU,1602724137,87,69.38,178.42,34.18,7.83
16,port macquarie,3,BR,1602724137,94,-22.97,-42.03,72.48,12.3
17,leningradskiy,20,CA,1602723884,48,60.72,-135.05,41,2.24
18,arraial do cabo,44,MR,1602724138,69,20.93,-17.03,78.8,11.41
19,barentsburg,3,PF,1602724138,74,-9.8,-139.03,77.94,20.11
20,whitehorse,40,CA,1602724036,76,48.93,-125.55,55.4,11.41
21,nouadhibou,99,FO,1602724138,75,62.23,-6.59,44.6,4.7
22,atuona,0,AU,1602723883,21,-20.74,116.85,94.6,6.51
23,ucluelet,0,AR,1602724029,66,-38,-57.56,51.8,11.41
24,klaksvik,100,PG,1602724138,66,-2.02,147.27,85.98,5.82
25,karratha,100,ID,1602724060,77,-3.8,102.27,79.83,2.95
26,mar del plata,100,PF,1602724139,81,-23.12,-134.97,73.69,18.03
27,lorengau,40,GA,1602724139,83,0.38,9.78,78.8,9.17
28,bengkulu,90,AU,1602723926,100,-33.87,121.9,59,14.99
29,rikitea,90,CN,1602724139,93,30.95,113.55,59,4.47
30,ntoum,90,AU,1602724139,68,-24.87,113.63,69.8,21.92
31,esperance,8,AU,1602724139,50,-33.65,115.33,64.99,9.1
32,yingcheng,100,RU,1602724139,91,73.51,80.55,29.61,20.45
33,carnarvon,100,GL,1602724139,92,65.61,-37.64,35.6,3.36
34,busselton,100,SO,1602724139,77,5.35,48.53,79.97,15.88
35,dikson,75,TH,1602723948,94,17.25,99.67,78.8,2.24
36,tasiilaq,100,VE,1602724140,87,7.77,-72.22,66.02,1.5
37,hobyo,83,EC,1602724140,94,-0.74,-90.35,69.01,3
38,sukhothai,0,GL,1602724140,80,60.72,-46.03,35.6,3.36
39,san cristobal,100,RU,1602724140,85,68.75,161.3,34.16,8.43
40,puerto ayora,0,MN,1602724140,77,48.01,91.64,31.32,3.53
41,grand river south east,0,NA,1602724140,28,-26.65,15.16,71.02,11.63
42,qaqortoq,100,RU,1602724141,88,65.58,-171,33.76,14.9
43,cherskiy,75,CA,1602724141,79,69.45,-133.04,24.8,16.11
44,hovd,100,CA,1602724141,83,66.15,-65.71,32.9,9.95
45,luderitz,0,LY,1602724141,37,29.03,21.55,71.83,8.48
46,taolanaro,63,NE,1602724141,32,14.35,3.32,89.94,8.95
47,lavrentiya,68,MW,1602724141,60,-14.48,35.26,70.57,12.17
48,tuktoyaktuk,40,MU,1602724142,94,-20.34,57.76,70,6.51
49,pangnirtung,1,US,1602724142,65,43.21,-75.46,46.4,3.36
50,jalu,0,NZ,1602724142,52,-46.19,168.86,54,8.01
51,filingue,99,ID,1602723844,66,-0.95,100.35,82.33,1.32
52,mangochi,100,MX,1602724142,65,30.17,-111.1,82.99,6.93
53,bambous virieux,40,US,1602724142,58,19.73,-155.09,86,14.99
54,roma,1,US,1602724142,48,39.18,-84.53,69.01,5.82
55,nizhneyansk,40,JP,1602724143,74,24.8,125.28,82.4,11.41
56,mataura,90,CA,1602724032,58,62.46,-114.35,25,24.16
57,padang,90,RU,1602724143,75,59.7,30.79,44.6,8.95
58,benjamin hill,1,US,1602724105,81,41.37,-73.41,54,3.36
59,hilo,55,UY,1602724143,94,-33.7,-53.46,54.57,6.42
60,hamilton,0,MW,1602724143,62,-15.79,35.01,62.15,7.61
61,hirara,90,GT,1602724143,94,14.3,-91.92,73.4,4.7
62,yellowknife,25,TL,1602724144,30,-8.93,125.41,78.15,4.61
63,nikolskoye,90,CA,1602724144,81,47.67,-52.73,52,17.22
64,bethel,50,CK,1602724144,50,-21.21,-159.78,75.2,9.17
65,chuy,81,US,1602723944,80,42.6,-73.97,52,3.47
66,blantyre,75,US,1602724144,65,28.02,-97.52,80.6,13.87
67,champerico,75,US,1602724144,68,71.29,-156.79,26.6,10.29
68,airai,100,RU,1602724144,96,71.92,114.08,18.93,17.09
69,torbay,0,ZA,1602723882,87,-33.01,17.94,55.4,9.17
70,avarua,1,US,1602724145,47,42.1,-79.24,57.99,10.29
71,albany,100,BR,1602724145,84,-24.79,-50.01,65.35,4.63
72,paucartambo,3,SB,1602724145,66,-8.14,159.59,85.71,3.09
73,san patricio,100,GL,1602724145,82,61.99,-49.67,37.98,11.41
74,barrow,20,MY,1602724145,88,5.41,100.34,82.4,2.24
75,saskylakh,61,MV,1602723850,78,2.67,72.89,82.17,16.8
76,saldanha,40,CA,1602724145,100,70.47,-68.59,19.4,6.93
77,jamestown,100,IN,1602724146,89,18.03,73.02,78.33,16.96
78,castro,100,IN,1602724146,79,10.57,72.64,81.16,21.39
79,buala,4,CL,1602723987,87,-29.95,-71.34,55.4,4.7
80,paamiut,0,OM,1602724146,44,22.57,59.53,79.36,14.18
81,georgetown,0,NZ,1602724146,52,-46.13,167.68,54,8.01
82,kudahuvadhoo,100,CA,1602724146,93,51.23,-58.65,48.31,17.47
83,bolungarvik,0,CN,1602724147,69,40.28,97.2,38.32,4.61
84,clyde river,75,AR,1602723880,49,-54.8,-68.3,48.2,13.87
85,srivardhan,67,BR,1602724147,94,-21.64,-41.05,73.85,6.33
86,kavaratti,50,SE,1602724147,79,58.38,12.32,43,16.11
87,coquimbo,11,ZA,1602724147,92,-34.42,19.23,55.99,1.99
88,sur,99,MG,1602724147,91,-22.82,47.83,70.79,13.78
89,tuatapere,99,BR,1602724147,84,-30.18,-50.21,60.17,4.16
90,saint-augustin,0,NZ,1602724147,51,-46.28,169.85,51.01,11.99
91,yumen,0,LY,1602724148,70,32.77,22.64,69.78,5.17
92,ushuaia,0,US,1602724083,91,42.08,-72.03,52,2.42
93,sao joao da barra,14,MR,1602724148,27,20.5,-10.07,88.79,7.56
94,vanersborg,1,US,1602724148,39,34.64,-120.46,78.8,13.87
95,hermanus,100,RU,1602724148,94,63.92,127.47,17.69,4.72
96,farafangana,0,EG,1602724148,26,24.09,32.91,80.47,5.28
97,cidreira,14,AU,1602724148,59,-28.77,114.6,66.2,14.99
98,kaitangata,0,IN,1602724148,93,31.82,75.39,62.6,2.48
99,amderma,100,AR,1602724149,35,-43.25,-65.31,56.61,21.27
100,vestbygda,0,ZA,1602724149,87,-33.92,25.57,57.2,6.93
101,darnah,70,PY,1602724149,35,-19.93,-60.77,89.01,6.17
102,southbridge,75,CV,1602724149,94,14.92,-23.51,78.8,9.17
103,adrar,100,AO,1602724149,91,-12.38,16.93,62.04,1.86
104,lompoc,20,BR,1602723955,66,2.82,-60.67,84.2,4.7
105,sangar,100,SE,1602724149,76,56.66,16.36,50,19.46
106,aswan,97,RU,1602724150,85,46.49,135.88,29.86,11.5
107,geraldton,75,US,1602724150,58,21.44,-157.84,86,6.93
108,qadian,46,ZA,1602723957,93,-33.93,18.42,59,8.05
109,trelew,65,RU,1602724150,95,52.47,96.11,28.44,3.15
110,port elizabeth,90,IN,1602724028,100,15.4,73.8,75.2,5.82
111,mayor pablo lagerenza,20,SY,1602724150,61,35.93,36.63,77,12.75
112,praia,1,US,1602724150,87,38.89,-76.51,60.8,7.96
113,kuito,75,CA,1602724151,87,50.7,-127.42,51.8,2.24
114,karaul,0,RU,1602724151,94,71.69,128.87,12.54,3.8
115,boa vista,39,ZA,1602724151,93,-34.53,20.04,48.2,3.36
116,kalmar,0,NA,1602724151,87,-22.96,14.51,59,9.17
117,vostok,75,TO,1602724151,69,-21.2,-175.2,77,8.05
118,ahuimanu,75,AU,1602724151,59,-42.78,147.06,66.2,18.34
119,cape town,100,IN,1602724151,43,20.9,70.37,83.28,7.56
120,karamea,59,PT,1602724151,82,38.52,-28.7,69.06,7.29
121,toora-khem,89,RU,1602724152,88,43.85,46.72,60.46,12.44
122,mormugao,25,GL,1602724152,85,77.48,-69.36,32.4,8.28
123,idlib,75,NU,1602724152,61,-19.06,-169.92,78.8,16.11
124,mayo,0,ZA,1602723961,72,-33.02,27.91,59.23,9.66
125,port hardy,1,US,1602724152,72,40.6,-124.16,64.99,12.75
126,tiksi,49,CL,1602723897,70,-41.87,-73.82,48.2,5.82
127,bredasdorp,91,ES,1602724153,100,43.27,-7.54,52,3
128,walvis bay,75,US,1602723794,48,39.96,-83,66.2,8.05
129,vaini,90,RU,1602724153,92,66,111.5,21.2,8.95
130,new norfolk,66,GL,1602724136,74,69.22,-51.1,33.8,2.24
131,veraval,4,ID,1602724153,51,-7.73,114.1,88.23,2.84
132,ribeira grande,75,CA,1602724153,81,50.32,-122.8,46.4,2.64
133,kizlyar,90,CN,1602724154,64,23.46,116.77,75.2,4.47
134,samusu,100,PG,1602724154,71,-4.06,144.07,84.88,2.48
135,qaanaaq,100,GB,1602724154,81,60.4,-1.35,46.4,8.05
136,alofi,100,RU,1602724154,95,64.9,45.76,31.71,7.18
137,east london,0,NZ,1602724154,52,-46.6,168.33,54,8.01
138,fortuna,20,CA,1602724154,58,58.52,-117.14,28.4,12.75
139,ancud,1,US,1602724154,15,41,-115.5,69.8,14.99
